一,yī
丁,dīng
七,qī
万,wàn
丈,zhàng
三,sān
上,shàng
下,xià
丌,jī
不,bù
与,yǔ
丐,gài
丑,chǒu
专,zhuān
且,qiě
丕,pī
世,shì
丘,qiū
丙,bǐng
业,yè
丛,cóng
东,dōng
丝,sī
丞,chéng
丢,diū
两,liǎng
严,yán
丧,sàng
丨,gǔn
个,gè
丫,yā
丬,pán
中,zhōng
丰,fēng
串,chuàn
临,lín
丶,zhǔ
丸,wán
丹,dān
为,wéi
主,zhǔ
丽,lì
举,jǔ
丿,piě
乃,nǎi
久,jiǔ
乇,zhé
么,me
义,yì
之,zhī
乌,wū
乍,zhà
乎,hū
乏,fá
乐,lè
乒,pīng
乓,pāng
乔,qiáo
乖,guāi
乘,chéng
乙,yǐ
乜,niè
九,jiǔ
乞,qǐ
也,yě
习,xí
乡,xiāng
书,shū
乩,jī
买,mǎi
乱,luàn
乳,rǔ
乾,qián
了,le
予,yǔ
争,zhēng
事,shì
二,èr
亍,chù
于,yú
亏,kuī
云,yún
互,hù
亓,qí
五,wǔ
井,jǐng
亘,gèn
亚,yà
些,xiē
亟,jí
亠,tóu
亡,wáng
亢,kàng
交,jiāo
亥,hài
亦,yì
产,chǎn
亨,hēng
亩,mǔ
享,xiǎng
京,jīng
亭,tíng
亮,liàng
亲,qīn
亳,bó
亵,xiè
人,rén
亻,rén
亿,yì
什,shí
仁,rén
仂,lè
仃,dīng
仄,zè
仅,jǐn
仆,pú
仇,chóu
仉,zhǎng
今,jīn
介,jiè
仍,réng
从,cóng
仑,lún
仓,cāng
仔,zǐ
仕,shì
他,tā
仗,zhàng
付,fù
仙,xiān
仝,tóng
仞,rèn
仟,qiān
仡,yì
代,dài
令,lìng
以,yǐ
仨,sā
仪,yí
仫,mù
们,men
仰,yǎng
仲,zhòng
仳,pǐ
仵,wǔ
件,jiàn
价,jià
任,rèn
份,fèn
仿,fǎng
企,qǐ
伉,kàng
伊,yī
伍,wǔ
伎,jì
伏,fú
伐,fá
休,xiū
众,zhòng
优,yōu
伙,huǒ
会,huì
伛,yǔ
伞,sǎn
伟,wěi
传,chuán
伢,yá
伤,shāng
伥,chāng
伦,lún
伧,chen
伪,wěi
伫,zhù
伯,bó
估,gū
伲,nì
伴,bàn
伶,líng
伸,shēn
伺,sì
似,sì
伽,jiā
佃,diàn
但,dàn
位,wèi
低,dī
住,zhù
佐,zuǒ
佑,yòu
体,tǐ
何,hé
佗,tuó
佘,shé
余,yú
佚,yì
佛,fó
作,zuò
佝,gōu
佞,nìng
佟,tóng
你,nǐ
佣,yōng
佤,wǎ
佥,qiān
佧,kǎ
佩,pèi
佬,lǎo
佯,yáng
佰,bǎi
佳,jiā
佴,nài
佶,jí
佻,tiāo
佼,jiǎo
佾,yì
使,shǐ
侃,kǎn
侄,zhí
侈,chǐ
侉,kuǎ
例,lì
侍,shì
侏,zhū
侑,yòu
侔,móu
侗,dòng
供,gòng
依,yī
侠,xiá
侣,lǚ
侥,yáo
侦,zhēn
侧,cè
侨,qiáo
侩,kuài
侪,chái
侬,nóng
侮,wǔ
侯,hòu
侵,qīn
便,biàn
促,cù
俄,é
俅,qiú
俊,jùn
俎,zǔ
俏,qiào
俐,lì
俑,yǒng
俗,sú
俘,fú
俚,lǐ
俜,pīng
保,bǎo
俞,yú
俟,sì
信,xìn
俣,yǔ
俦,chóu
俨,yǎn
俩,liǎ
俪,lì
俭,jiǎn
修,xiū
俯,fǔ
俱,jù
俳,pái
俸,fèng
俺,ǎn
俾,bǐ
倌,guān
倍,bèi
倏,shū
倒,dǎo
倔,juè
倘,tǎng
候,hòu
倚,yǐ
倜,tì
借,jiè
倡,chàng
倥,kōng
倦,juàn
倨,jù
倩,qiàn
倪,ní
倬,zhuō
倭,wō
倮,luǒ
债,zhài
值,zhí
倾,qīng
偃,yǎn
假,jiǎ
偈,jì
偌,ruò
偎,wēi
偏,piān
偕,xié
做,zuò
停,tíng
健,jiàn
偬,zǒng
偶,ǒu
偷,tōu
偻,lǚ
偾,fèn
偿,cháng
傀,guī
傅,fù
傈,lì
傍,bàng
傣,dǎi
傥,tǎng
傧,bīn
储,chǔ
傩,nuó
催,cuī
傲,ào
傺,chì
傻,shǎ
像,xiàng
僖,xī
僚,liáo
僦,jiù
僧,sēng
僬,jiāo
僭,jiàn
僮,tóng
僳,sù
僵,jiāng
僻,pì
儆,jǐng
儇,xuān
儋,dān
儒,rú
儡,lěi
儿,ér
兀,wū
允,yǔn
元,yuán
兄,xiōng
充,chōng
兆,zhào
先,xiān
光,guāng
克,kè
免,miǎn
兑,duì
兔,tù
兕,sì
兖,yǎn
党,dǎng
兜,dōu
兢,jīng
入,rù
全,quán
八,bā
公,gōng
六,liù
兮,xī
兰,lán
共,gòng
关,guān
兴,xīng
兵,bīng
其,qí
具,jù
典,diǎn
兹,zī
养,yǎng
兼,jiān
兽,shòu
冀,jì
冁,chǎn
冂,jiōng
内,nèi
冈,gāng
冉,rǎn
册,cè
再,zài
冒,mào
冕,miǎn
冖,mì
冗,rǒng
写,xiě
军,jūn
农,nóng
冠,guān
冢,zhǒng
冤,yuān
冥,míng
冫,bīng
冬,dōng
冯,féng
冰,bīng
冱,hù
冲,chōng
决,jué
况,kuàng
冶,yě
冷,lěng
冻,dòng
冼,xiǎn
冽,liè
净,jìng
凄,qī
准,zhǔn
凇,sōng
凉,liáng
凋,diāo
凌,líng
减,jiǎn
凑,còu
凛,lǐn
凝,níng
几,jǐ
凡,fán
凤,fèng
凫,fú
凭,píng
凯,kǎi
凰,huáng
凳,dèng
凵,kǎn
凶,xiōng
凸,tū
凹,āo
出,chū
击,jī
凼,dàng
函,hán
凿,záo
刀,dāo
刁,diāo
刂,dāo
刃,rèn
分,fēn
切,qiē
刈,yì
刊,kān
刍,chú
刎,wěn
刑,xíng
划,huá
刖,yuè
列,liè
刘,liú
则,zé
刚,gāng
创,chuàng
初,chū
删,shān
判,pàn
刨,páo
利,lì
别,bié
刭,jǐng
刮,guā
到,dào
刳,kū
制,zhì
刷,shuā
券,quàn
刹,shā
刺,cì
刻,kè
刽,guì
刿,guì
剀,kǎi
剁,duò
剂,jì
剃,tì
削,xuē
剌,là
前,qián
剐,guǎ
剑,jiàn
剔,tī
剖,pōu
剜,wān
剞,jī
剡,yǎn
剥,bāo
剧,jù
剩,shèng
剪,jiǎn
副,fù
割,gē
剽,piāo
剿,jiǎo
劁,qiāo
劂,jué
劈,pī
劐,huō
劓,yì
力,lì
劝,quàn
办,bàn
功,gōng
加,jiā
务,wù
劢,mài
劣,liè
动,dòng
助,zhù
努,nǔ
劫,jié
劬,qú
劭,shào
励,lì
劲,jìn
劳,láo
劾,hé
势,shì
勃,bó
勇,yǒng
勉,miǎn
勋,xūn
勐,měng
勒,lè
勖,xù
勘,kān
募,mù
勤,qín
勰,xié
勹,bāo
勺,sháo
勾,gōu
勿,wù
匀,yún
包,bāo
匆,cōng
匈,xiōng
匍,pú
匏,páo
匐,fú
匕,bǐ
化,huà
北,běi
匙,chí
匚,fāng
匝,zā
匠,jiàng
匡,kuāng
匣,xiá
匦,guǐ
匪,fěi
匮,kuì
匹,pǐ
区,qū
医,yī
匾,biǎn
匿,nì
十,shí
千,qiān
卅,sà
升,shēng
午,wǔ
卉,huì
半,bàn
华,huá
协,xié
卑,bēi
卒,zú
卓,zhuó
单,dān
卖,mài
南,nán
博,bó
卜,bo
卞,biàn
卟,bǔ
占,zhàn
卡,kǎ
卢,lú
卣,yǒu
卤,lǔ
